LocationDesc,Class,Topic,Question,Data_Value_Type,Stratification1,Stratification2,target
New Jersey,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Female,1
Montana,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,,1
Illinois,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Female,0
New Jersey,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"Black, non-Hispanic",0
District of Columbia,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Male,1
Mississippi,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Male,1
Minnesota,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Female,0
Pennsylvania,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Female,1
Oregon,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,"White, non-Hispanic",0
Texas,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,,1
Northeast,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Native Am/Alaskan Native,1
New Hampshire,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"White, non-Hispanic",0
Oklahoma,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,,0
Connecticut,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"Black, non-Hispanic",1
"United States, DC & Territories",Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"White, non-Hispanic",1
Maine,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Male,0
Arizona,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Male,1
Massachusetts,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,"Black, non-Hispanic",0
Midwest,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Male,0
Rhode Island,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,1
Massachusetts,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,Male,0
Nebraska,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,1
Connecticut,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,0
Hawaii,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Female,0
Maryland,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Female,0
South Dakota,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Male,0
Michigan,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,"Black, non-Hispanic",0
Idaho,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,,0
Indiana,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"Black, non-Hispanic",0
Louisiana,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"White, non-Hispanic",1
Puerto Rico,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Hispanic,1
Arizona,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"White, non-Hispanic",1
"United States, DC & Territories",Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"White, non-Hispanic",1
Mississippi,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Male,0
Nevada,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Female,1
Vermont,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,"White, non-Hispanic",0
North Carolina,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,,1
California,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,,0
New Mexico,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Male,0
North Carolina,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Male,0
New Jersey,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,"Black, non-Hispanic",0
Tennessee,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,"White, non-Hispanic",1
California,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"White, non-Hispanic",1
Michigan,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Female,1
Arizona,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"Black, non-Hispanic",1
Idaho,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Male,0
Kentucky,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Male,1
Rhode Island,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"Black, non-Hispanic",1
Maine,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Female,0
Northeast,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,"White, non-Hispanic",0
Alaska,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Native Am/Alaskan Native,0
Wyoming,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"White, non-Hispanic",1
South,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Female,0
Maryland,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"White, non-Hispanic",1
Maine,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"White, non-Hispanic",1
California,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,Hispanic,1
Puerto Rico,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Female,1
California,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"White, non-Hispanic",1
Rhode Island,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Male,0
New Mexico,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,"White, non-Hispanic",1
South,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Asian/Pacific Islander,0
Nevada,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,Female,1
Arizona,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,,1
New Jersey,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,50-64 years,Female,0
Montana,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Male,0
Alabama,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,,1
Midwest,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,Overall,Male,0
Nevada,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,Overall,Female,1
South Dakota,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,50-64 years,"White, non-Hispanic",1
South Carolina,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,Percentage,65 years or older,Male,0
Missouri,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,Percentage,65 years or older,"Black, non-Hispanic",0
